Q1,Q2,Q3,Q4,Q5,Q6,Recommendation,RecIcon,Effect,EffectIcon
*,*,*,Occasionally,Supported,Well,"Keep up your healthy habits and encourage friends to do the same.","🤗","Supporting others can boost your own well-being.","🌱"
Sometimes,Neutral,*,Sometimes,*,*,"Listen to calming music while studying and take regular breaks.","🎶","Music and breaks can help manage moderate stress.","🎵"
*,*,*,*,Very supported,Very well,"You are managing stress well! Consider mentoring a peer.","🌟","Helping others can reinforce your positive habits.","🤝"
*,Confident,Moderate,*,*,*,"Set clear goals for each study session and celebrate small wins.","🎯","Goal setting can reduce stress and improve focus.","🏅"
*,*,A little,*,*,*,"Try a new hobby or creative activity to unwind after studying.","🎨","Creative outlets can help relieve mild stress.","🖌️"
Often,*,*,Frequently,*,*,"Schedule downtime and avoid multitasking during study hours.","📅","Too much multitasking can increase stress.","🔄"
*,*,*,*,*,Very well,"Maintain your positive routines and share your strategies with friends.","💬","Sharing tips can help everyone manage stress.","👫"
*,*,*,*,*,A little,"Notice early signs of stress and take action before it builds up.","🔍","Early intervention can prevent bigger problems.","🚦"
*,*,*,*,*,*,"Watch: How to Manage Academic Stress - Practical Tips (YouTube)","🎥","Learning new strategies can help you feel more in control.","https://www.youtube.com/watch?v=hnpQrMqDoqE"
*,*,*,*,*,*,"Watch: 10-Minute Guided Meditation for Students (YouTube)","🧘‍♂️","Meditation can help you reset and refocus.","https://www.youtube.com/watch?v=inpok4MKVLM"
*,*,*,*,*,*,"Watch: Study Motivation Music Playlist (YouTube)","🎵","Music can boost your mood and productivity.","https://www.youtube.com/watch?v=WPni755-Krg"
*,*,*,*,*,*,"Watch: Yoga for Stress Relief and Relaxation (YouTube)","🧘‍♀️","Gentle yoga can help release tension and calm your mind.","https://www.youtube.com/watch?v=4pLUleLdwY4"
*,*,*,*,*,*,"Watch: How to Stop Procrastinating (YouTube)","⏰","Overcoming procrastination can lower your stress.","https://www.youtube.com/watch?v=1nBwfZZvjKo"
*,*,*,*,*,*,"Watch: Pomodoro Technique for Focus (YouTube)","⏲️","Short, focused study sessions can reduce overwhelm.","https://www.youtube.com/watch?v=mNBmG24djoY"
*,*,*,*,*,*,"Watch: Breathing Exercises for Anxiety (YouTube)","🌬️","Breathing techniques can quickly calm your nerves.","https://www.youtube.com/watch?v=1vx8iUvfyCY"
*,*,*,*,*,*,"Watch: How to Sleep Better Before Exams (YouTube)","😴","Good sleep is essential for stress management.","https://www.youtube.com/watch?v=1nZEdqcGVzo"
*,*,*,*,*,*,"Watch: Mindfulness for Students (YouTube)","🧠","Mindfulness can help you stay present and reduce worry.","https://www.youtube.com/watch?v=nmFUDkj1Aq0"
*,*,*,*,*,*,"Watch: Quick Desk Stretches for Study Breaks (YouTube)","🤸","Stretching helps release built-up tension.","https://www.youtube.com/watch?v=8BcPHWGQO44"
*,*,*,*,*,*,"Watch: How to Focus on Studies for Long Hours (YouTube)","🎯","Learn techniques to improve your concentration.","https://www.youtube.com/watch?v=IlU-zDU6aQ0"
*,*,*,*,*,*,"Watch: How to Stop Overthinking (YouTube)","🧠","Tips to calm your mind and reduce anxiety.","https://www.youtube.com/watch?v=8QyVZrV3d3o"
*,*,*,*,*,*,"Watch: 5-Minute Study Break Yoga (YouTube)","🧘‍♂️","Quick yoga to refresh your body and mind.","https://www.youtube.com/watch?v=2L2lnxIcNmo"
*,*,*,*,*,*,"Watch: How to Build Good Study Habits (YouTube)","📚","Develop habits that reduce stress and boost results.","https://www.youtube.com/watch?v=SCtW9z-DtRo"
*,*,*,*,*,*,"Watch: Guided Progressive Muscle Relaxation (YouTube)","💆","Relax your body to ease tension and stress.","https://www.youtube.com/watch?v=1nZEdqcGVzo"
*,*,*,*,*,*,"Watch: How to Stay Motivated for Exams (YouTube)","💪","Motivation tips for exam season.","https://www.youtube.com/watch?v=ZXsQAXx_ao0"
*,*,*,*,*,*,"Watch: Mindful Breathing for Calm (YouTube)","🌬️","Practice mindful breathing to reduce stress.","https://www.youtube.com/watch?v=SEfs5TJZ6Nk"
*,*,*,*,*,*,"Watch: How to Organize Your Study Space (YouTube)","🗂️","A tidy space can help you focus and feel less stressed.","https://www.youtube.com/watch?v=K6d4oOq-pmU"
*,*,*,*,*,*,"Watch: How to Deal with Exam Anxiety (YouTube)","😰","Learn coping strategies for test stress.","https://www.youtube.com/watch?v=1QJ1n6bT9a8"
*,*,*,*,*,*,"Watch: Guided Visualization for Success (YouTube)","🌟","Visualize your goals to boost confidence and reduce stress.","https://www.youtube.com/watch?v=OeXcI9BqXbE"
