StressLevel,ResourceType,Title,Link,Description,Icon
Medium,Activity,"Gratitude Jar","https://positivepsychology.com/gratitude-jar/","A fun way to notice the good things in life.","🍯"

Low,Book,"Make Your Bed","https://www.amazon.com/dp/1455570249","Small habits that can change your life and reduce stress.","🛏️"
Low,Video,"The Science of Happiness","https://www.youtube.com/watch?v=92tuvK6F5Lg","Learn about happiness and well-being.","🔬"
Low,Activity,"Compliment Challenge","https://www.randomactsofkindness.org/kindness-ideas/3-compliment-day","Give three compliments a day to boost positivity.","💬"
Low,Game,"Happify App","https://www.happify.com/","Games and activities for a happier, less stressed life.","🎮"
Low,Activity,"DIY Spa Day","https://www.healthline.com/health/beauty-skin-care/diy-spa-day","Relax and recharge at home.","🛁"
High,Book,"Feeling Good: The New Mood Therapy","https://www.amazon.com/dp/0380810336","A guide to overcoming stress and negative feelings.","📗"
High,Video,"Yoga for Stress Relief","https://www.youtube.com/watch?v=4pLUleLdwY4","Yoga routine to release tension and anxiety.","🧘‍♀️"
High,Activity,"Art Therapy Session","https://www.arttherapyblog.com/art-therapy-activities/","Creative activities to express and manage stress.","🎨"
High,Game,"SuperBetter App","https://www.superbetter.com/","A game to build resilience and tackle stress.","🎲"
High,Activity,"Guided Body Scan Meditation","https://www.youtube.com/watch?v=ihO02wUzgkc","A full body scan to relax deeply.","🛌"

Medium,Book,"Mind Over Mood","https://www.amazon.com/dp/1462520421","Change how you feel by changing the way you think.","🧩"
Medium,Video,"5-Minute Mindfulness Meditation","https://www.youtube.com/watch?v=inpok4MKVLM","Quick meditation for a mental reset.","⏳"
Medium,Activity,"DIY Aromatherapy","https://www.healthline.com/health/what-is-aromatherapy","Use scents to boost your mood and focus.","🌸"
Medium,Game,"Moodfit App","https://www.getmoodfit.com/","Track your mood and learn coping skills.","📱"
Medium,Activity,"Nature Photography Walk","https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/","Take photos outdoors to relax and refocus.","📷"

Low,Book,"The Book of Joy","https://www.amazon.com/dp/0399185046","Lasting happiness in a changing world.","😃"
Low,Video,"How to Practice Gratitude","https://www.youtube.com/watch?v=64QzBuhsyuk","Short video on gratitude for happiness.","🙏"
Low,Activity,"Dance Break","https://www.youtube.com/watch?v=KhfkYzUwYFk","Dance to your favorite song for a mood boost.","💃"
Low,Game,"Elevate App","https://www.elevateapp.com/","Brain training games for positivity and growth.","🧠"
Low,Activity,"Sun Salutation Yoga","https://www.youtube.com/watch?v=6IUyY9Dyr5w","Start your day with energizing yoga.","🌞"
High,Book,"Anxiety Relief for Teens","https://www.amazon.com/dp/1684030286","A CBT guide to help teens manage stress and anxiety.","📘"
High,Video,"Stress Management Strategies","https://www.youtube.com/watch?v=hnpQrMqDoqE","Expert tips for handling high stress.","🎬"
High,Activity,"Guided Visualization","https://www.youtube.com/watch?v=ZBnPlqQFPKs","Visualize calm to reduce stress.","🌅"
High,Game,"Colorfy App","https://www.colorfy.net/","Coloring app for relaxation and creativity.","🎨"
High,Activity,"Tai Chi for Stress","https://www.youtube.com/watch?v=ejB-jy5egus","Gentle movement for mind-body balance.","🕊️"


Medium,Book,"The Power of Now","https://www.amazon.com/dp/1577314808","A guide to spiritual enlightenment and presence.","🕰️"
Medium,Video,"Guided Mindfulness Meditation","https://www.youtube.com/watch?v=6p_yaNFSYao","10-minute mindfulness meditation.","🧘"
Medium,Activity,"Mandala Coloring","https://www.justcolor.net/mandalas/","Color mandalas to relax and focus.","🌀"
Medium,Game,"Insight Timer App","https://insighttimer.com/","Free meditation app with thousands of tracks.","⏲️"
Medium,Activity,"Mindful Eating Exercise","https://www.mindful.org/mindful-eating-a-guide-to-practice/","Practice eating with awareness.","🍎"
Medium,Book,"Atomic Focus","https://www.amazon.com/dp/B09V3JQ6JH","Improve focus and reduce stress with habits.","🎯"
Medium,Video,"Stretch & Breathe","https://www.youtube.com/watch?v=8BcPHWGQO44","Gentle stretching and breathing routine.","🧘‍♂️"
Medium,Activity,"Gratitude Letter","https://greatergood.berkeley.edu/article/item/why_gratitude_is_good","Write a letter of thanks to someone.","✉️"
Medium,Game,"Calm Harm App","https://calmharm.co.uk/","App for managing urges and stress.","📱"
Medium,Activity,"Mindful Listening","https://www.mindful.org/mindful-listening/","Practice listening with full attention.","👂"
Medium,Book,"The Confidence Gap","https://www.amazon.com/dp/1590309235","Build confidence and reduce stress.","📚"
Medium,Video,"Desk Yoga","https://www.youtube.com/watch?v=tAUf7aajBWE","Yoga stretches you can do at your desk.","🪑"

Low,Book,"The Four Agreements","https://www.amazon.com/dp/1878424319","A practical guide to personal freedom and happiness.","📖"
Low,Video,"Laughter Yoga","https://www.youtube.com/watch?v=1uO6X1bG5NI","Laugh along for a quick mood boost.","😂"
Low,Activity,"Kindness Calendar","https://www.actionforhappiness.org/calendar","Daily acts of kindness for happiness.","📆"
Low,Game,"Lumosity App","https://www.lumosity.com/","Brain games for fun and mental sharpness.","🧠"
Low,Activity,"Morning Affirmations","https://www.youtube.com/watch?v=Itp21tlym5g","Start your day with positive affirmations.","🌞"
Low,Book,"The Gifts of Imperfection","https://www.amazon.com/dp/159285849X","Let go of who you think you’re supposed to be.","🎁"
Low,Video,"Motivational TED Talk","https://www.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance","TED talk on grit and perseverance.","🎤"
Low,Activity,"Plant Care","https://www.gardeningknowhow.com/houseplants/hpgen/basic-care-of-houseplants.htm","Caring for plants to boost mood.","🪴"
Low,Game,"Wordscapes App","https://www.peoplefun.com/wordscapes","Relaxing word puzzles for fun.","🔤"
Low,Activity,"Stargazing","https://www.skyandtelescope.com/observing/stargazing-basics/","Spend time looking at the stars.","🌌"
